# Target Sample Rate: 200 Hz
# Max Device Sample Rate: 200 Hz
# Recording started at: 2025-11-06 23:43:56.086
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
23:43:56:095,-0.0122,0.0055,0.0225,0.03
23:43:56:096,0.0021,0.0056,0.0080,0.01
23:43:56:113,-0.0074,0.0104,0.0126,0.02
23:43:56:130,-0.0169,0.0103,0.0169,0.03
23:43:56:145,0.0019,0.0103,0.0307,0.03
23:43:56:146,-0.0124,0.0103,0.0209,0.03
23:43:56:146,-0.0029,0.0008,0.0160,0.02
23:43:56:159,-0.0029,0.0056,0.0111,0.01
23:43:56:159,-0.0029,0.0056,0.0110,0.01
23:43:56:181,-0.0077,0.0104,0.0155,0.02
23:43:56:194,-0.0077,0.0101,0.0054,0.01
23:43:56:195,-0.0173,0.0006,0.0291,0.03
23:43:56:208,-0.0124,0.0007,0.0192,0.02
23:43:56:222,-0.0124,0.0149,0.0141,0.02
23:43:56:223,-0.0076,0.0054,0.0235,0.03
23:43:56:235,-0.0029,0.0102,0.0184,0.02
23:43:56:252,-0.0124,0.0102,0.0322,0.04
23:43:56:268,0.0017,0.0102,0.0174,0.02
23:43:56:287,-0.0032,0.0055,0.0170,0.02
23:43:56:293,-0.0128,0.0102,0.0117,0.02
23:43:56:298,-0.0032,0.0054,0.0116,0.01
23:43:56:303,-0.0128,0.0102,0.0116,0.02
23:43:56:319,-0.0079,0.0054,0.0162,0.02
23:43:56:337,-0.0078,0.0149,0.0111,0.02
23:43:56:351,-0.0079,0.0102,0.0107,0.02
23:43:56:351,0.0016,0.0054,0.0153,0.02
23:43:56:354,-0.0080,0.0007,0.0199,0.02
23:43:56:368,-0.0080,0.0055,0.0198,0.02
23:43:56:386,-0.0077,0.0055,0.0099,0.01
23:43:56:402,-0.0029,0.0054,0.0095,0.01
23:43:56:402,-0.0124,0.0054,0.0094,0.02
23:43:56:405,-0.0077,0.0101,0.0141,0.02
23:43:56:418,-0.0029,0.0101,0.0044,0.01
23:43:56:435,-0.0124,0.0054,0.0042,0.01
23:43:56:451,-0.0077,0.0196,0.0276,0.03
23:43:56:470,-0.0076,0.0052,0.0176,0.02
23:43:56:489,-0.0074,0.0098,0.0029,0.01
23:43:56:505,-0.0075,0.0003,0.0120,0.01
23:43:56:521,-0.0026,0.0098,0.0211,0.02
23:43:56:530,-0.0072,0.0003,0.0254,0.03
23:43:56:535,-0.0167,0.0146,0.0156,0.03
23:43:56:558,-0.0024,0.0145,0.0013,0.01
23:43:56:565,-0.0072,0.0097,0.0150,0.02
23:43:56:570,-0.0024,0.0144,0.0054,0.02
23:43:56:595,-0.0119,0.0001,0.0148,0.02
