# Target Sample Rate: 100 Hz
# Max Device Sample Rate: 50 Hz
# Recording started at: 2024-01-15 10:30:00.000
time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.000,0.123,-0.045,9.785,9.80
0.010,0.134,-0.052,9.801,9.80
0.020,0.119,-0.041,9.773,9.80
0.030,0.127,-0.048,9.792,9.80
0.040,0.131,-0.046,9.799,9.80
0.050,0.125,-0.044,9.787,9.80
0.060,0.129,-0.047,9.795,9.80
0.070,0.122,-0.043,9.780,9.80
0.080,0.136,-0.051,9.805,9.80
0.090,0.128,-0.046,9.794,9.80
0.100,0.124,-0.045,9.786,9.80
0.110,0.130,-0.048,9.798,9.80
0.120,0.126,-0.046,9.790,9.80
0.130,0.133,-0.050,9.803,9.80
0.140,0.121,-0.042,9.778,9.80
0.150,0.135,-0.051,9.804,9.80
0.160,0.127,-0.047,9.792,9.80
0.170,0.129,-0.048,9.796,9.80
0.180,0.123,-0.044,9.784,9.80
0.190,0.132,-0.049,9.800,9.80
0.200,0.125,-0.045,9.788,9.80
0.210,0.128,-0.047,9.793,9.80
0.220,0.134,-0.050,9.802,9.80
0.230,0.120,-0.041,9.776,9.80
0.240,0.131,-0.049,9.799,9.80
0.250,0.126,-0.046,9.789,9.80
0.260,0.130,-0.048,9.797,9.80
0.270,0.124,-0.044,9.785,9.80
0.280,0.133,-0.050,9.801,9.80
0.290,0.127,-0.046,9.791,9.80
0.300,0.129,-0.047,9.795,9.80
0.310,0.122,-0.043,9.781,9.80
0.320,0.135,-0.051,9.804,9.80
0.330,0.128,-0.047,9.793,9.80
0.340,0.131,-0.049,9.798,9.80
0.350,0.125,-0.045,9.787,9.80
0.360,0.134,-0.050,9.803,9.80
0.370,0.126,-0.046,9.790,9.80
0.380,0.130,-0.048,9.796,9.80
0.390,0.123,-0.044,9.783,9.80
0.400,0.132,-0.049,9.800,9.80
0.410,0.127,-0.047,9.792,9.80
0.420,0.129,-0.048,9.795,9.80
0.430,0.124,-0.045,9.786,9.80
0.440,0.133,-0.050,9.802,9.80
0.450,0.128,-0.047,9.794,9.80
0.460,0.131,-0.049,9.799,9.80
0.470,0.125,-0.046,9.788,9.80
0.480,0.134,-0.051,9.803,9.80
0.490,0.127,-0.047,9.791,9.80
0.500,0.130,-0.048,9.797,9.80
0.510,0.123,-0.044,9.784,9.80
0.520,0.132,-0.050,9.801,9.80
0.530,0.126,-0.046,9.789,9.80
0.540,0.129,-0.047,9.795,9.80
0.550,0.124,-0.045,9.786,9.80
0.560,0.133,-0.050,9.802,9.80
0.570,0.128,-0.048,9.794,9.80
0.580,0.131,-0.049,9.798,9.80
0.590,0.125,-0.046,9.788,9.80
0.600,0.134,-0.051,9.804,9.80
0.610,0.127,-0.047,9.792,9.80
0.620,0.130,-0.048,9.796,9.80
0.630,0.123,-0.044,9.783,9.80
0.640,0.132,-0.050,9.800,9.80
0.650,0.126,-0.046,9.790,9.80
0.660,0.129,-0.048,9.795,9.80
0.670,0.124,-0.045,9.786,9.80
0.680,0.133,-0.050,9.802,9.80
0.690,0.128,-0.047,9.793,9.80
0.700,0.131,-0.049,9.799,9.80
0.710,0.125,-0.046,9.787,9.80
0.720,0.134,-0.051,9.803,9.80
0.730,0.127,-0.047,9.791,9.80
0.740,0.130,-0.048,9.797,9.80
0.750,0.123,-0.044,9.784,9.80
0.760,0.132,-0.050,9.801,9.80
0.770,0.126,-0.046,9.789,9.80
0.780,0.129,-0.047,9.795,9.80
0.790,0.124,-0.045,9.786,9.80
0.800,0.133,-0.050,9.802,9.80
0.810,0.128,-0.048,9.794,9.80
0.820,0.131,-0.049,9.798,9.80
0.830,0.125,-0.046,9.788,9.80
0.840,0.134,-0.051,9.804,9.80
0.850,0.127,-0.047,9.792,9.80
0.860,0.130,-0.048,9.796,9.80
0.870,0.123,-0.044,9.783,9.80
0.880,0.132,-0.050,9.800,9.80
0.890,0.126,-0.046,9.790,9.80
0.900,0.129,-0.048,9.795,9.80
0.910,0.124,-0.045,9.786,9.80
0.920,0.133,-0.050,9.802,9.80
0.930,0.128,-0.047,9.793,9.80
0.940,0.131,-0.049,9.799,9.80
0.950,0.125,-0.046,9.787,9.80
0.960,0.134,-0.051,9.803,9.80
0.970,0.127,-0.047,9.791,9.80
0.980,0.130,-0.048,9.797,9.80
0.990,0.123,-0.044,9.784,9.80
